1hr,2hr,4hr,8hr
785.1096774,1871.515213,4501.357798,3973.541284
1701.042884,2880.484787,3567.085627,1682.544343
746.7187856,1968.192698,1830.902141,703.0825688
709.1749526,2217.198783,6149.657492,5723.70948
1994.029602,2202.945233,5004.828746,4975.48318
1311.404934,3157.3286,3052.027523,8620.073394
261.143074,593.3144016,1972.975535,3400.024465
500.0698292,3546.014199,708.3761468,10108.8685
1342.752182,2346.995943,2925.902141,773.6391437
1892.93814,2399.097363,4706.727829,5534.755352
979.6280835,1275.198783,5130.510703,8161.93578
31.87855787,2427.081136,5320.110092,18.34862385
19.32144213,2923.356998,3713.948012,8065.232416
68.31119545,2454.590264,1830.278287,3606.232416
1302.63833,2130.543611,5678.889908,5524.192661
2057.554459,2148.509128,3735.051988,4207.966361
365.0808349,2506.330629,4361.171254,4194.847095
345.1901328,237.3225152,1107.691131,479.2018349
265.4998102,366.3286004,1799.59633,5729.287462
1445.240228,222.4482759,5864.749235,1358.801223
792.116888,988.1947262,4312.137615,6285.042813
1037.446679,2097.991886,1628.602446,788.7737003
169.4208729,637.0283976,5803.568807,8373.12844
372.2504744,917.4584178,4749.996942,1322.993884
622.6944972,2710.11359,1172.804281,4840.896024
1662.673245,3225.093306,3697.691131,2272.015291
1068.567742,3668.823529,1467.648318,4197.110092
1239.535484,2035.513185,4425.932722,4105.944954
41.98709677,2160.028398,5359.021407,6034.311927
1084.731689,1002.290061,1327.107034,5523.862385
1169.970398,258.8884381,5998.507645,555.795107
1010.050854,2620.634888,2223.651376,5085.984709
972.2702087,2346.115619,1054.608563,7795.055046
43.20303605,1470.178499,2989.639144,4052.535168
433.8231499,2524.381339,1613.195719,9538.636086
71.28197343,845.0709939,5334.810398,6880.899083
13.66223909,1914.438134,2143.033639,5347.097859
1597.680455,1395.687627,2477.788991,2845.443425
942.4895636,2255.740365,3795.302752,6426.489297
1498.346869,2974.989858,1650.844037,3929.04893
500.9776091,2428.858012,2887.155963,4542.75841
1359.031499,2259.144016,2384.681957,4943.327217
503.3806452,3147.239351,4063.345566,7700.513761
46.88728653,267.2109533,1053.53211,4990.535168
144.7301708,878.8275862,780.3211009,6337.525994
1083.955977,2926.707911,3427.073394,7958.752294
212.2899431,1507.557809,4259.446483,7318.015291
1648.81518,19.24340771,687.2782875,6178.30581
45.54079696,2927.912779,3394.103976,18.34862385
1840.136622,1659.630832,4674.103976,9.174311927
862.4091082,,5000.798165,1608.550459
1210.298292,,2685.204893,6499.538226
638.7157495,,3120.535168,2872.544343
178.2679317,,2526.415902,6938.755352
1875.75408,,3925.46789,7363.993884
114.2163188,,5920.397554,3720.321101
1305.706262,,4588.155963,5942.003058
1045.719924,,2336.978593,7679.076453
228.6588235,,2128.752294,3306.608563
1064.037951,,3622.899083,
14.40151803,,2248.272171,
287.485389,,,
778.0857685,,,
195.6037951,,,
1340.82277,,,
1237.480076,,,
1154.97685,,,
418.3104364,,,
1228.194307,,,
744.4371917,,,
948.629981,,,
1639.921063,,,
1230.410626,,,
301.429981,,,
140.3142315,,,
1425.83074,,,
1366.032638,,,
479.7783681,,,
24.52371917,,,
1379.5537,,,
299.5066414,,,
202.1313093,,,
1633.108159,,,
