1hr,2hr,4hr,8hr
127.5962049,1175.1643,1250.207951,6600.40367
1021.918786,3632.742394,5189.883792,4492.82263
1306.049336,1413.920892,4264.7737,5428.152905
763.0451613,599.0527383,4265.715596,991.7003058
1884.675522,2267.257606,5776.003058,4157.617737
22.77039848,1367.26572,4353.69419,2233.599388
458.3529412,2514.612576,4882.464832,1417.896024
1381.416319,2088.308316,467.7278287,4836.850153
40.73320683,3376.176471,598.6238532,3141.746177
1002.058444,1926.36714,2830.425076,4768.168196
121.0049336,1536.160243,64.87155963,1972.868502
22.77039848,1345.647059,2784.097859,451.4587156
1145.59241,3311.427992,53.49541284,8342.599388
1054.944972,2393.896552,5225.718654,4276.327217
870.0296015,1873.902637,3103.743119,7416.036697
1319.608349,807.7991886,590.6055046,3834.926606
90.74003795,1171.831643,4158.348624,8127.593272
30.55028463,2015.634888,3721.058104,454.2538226
123.716129,2795.058824,4799.278287,7759.64526
546.8371917,1274.93712,4820.87156,4261.299694
667.4519924,2213.845842,944.17737,20.51376147
1688.526755,1640.35497,2944.746177,4994.562691
1690.204175,1085.070994,146.0489297,4455.275229
14.40151803,1204.813387,201.2385321,1749.299694
1606.043264,1499.801217,4274.987768,6133.357798
507.2106262,1615.127789,4099.180428,965.5565749
590.570019,25.08924949,801.5688073,7960.256881
1271.206072,2050.701826,2218.813456,983.0733945
648.8318786,3153.705882,391.1651376,3458.507645
20.3658444,2558.263692,4101.003058,794.3180428
1254.280076,915.0121704,3172.152905,5944.721713
1597.865655,3204.119675,3557.95107,1753.70948
1646.274004,1668.40568,6124.513761,5778.06422
463.4170778,2148.462475,5903.397554,2473.984709
492.340038,1638.701826,3384.003058,7596.376147
1577.518027,342.6125761,5930.183486,3914.302752
1037.179507,1142.133874,5576.53211,27.52293578
1319.647818,793.4036511,462.3730887,3627.718654
398.1388994,3269.020284,1191.311927,1179.966361
1330.762808,1225.35497,1631.269113,6302.474006
10.1829222,2864.866126,3351.749235,163.3425076
28.80303605,3042.94929,2110.082569,599.8776758
1020.617837,6.085192698,3458.816514,5731.996942
1667.744972,1945.450304,3034.648318,1713.82263
44.86679317,2765.527383,711.470948,3782.318043
584.9624288,1503.971602,4886.889908,8913.256881
1247.474763,630.0081136,2136.440367,1381.058104
1346.334725,217.4543611,5493.314985,6309.831804
471.4777989,1343.981744,2128.159021,10213.15291
1429.678937,1138.332657,4374.507645,877.1253823
701.3328273,2379.744422,5463.972477,518.7859327
460.1229602,120.7870183,2763.180428,3350.504587
16.42049336,1923.385396,2300.131498,4013.636086
1568.511575,1564.365112,4660.513761,663.9785933
654.0721063,3120.217039,3085.889908,2725.64526
892.2094877,1619.959432,4213.654434,5048.223242
113.1203036,1825.115619,6062.155963,268.2415902
1038.53055,24.34077079,6496.409786,6316.336391
32.20189753,469.5375254,5925.201835,5305.262997
709.8929791,1541.914807,2450.740061,4011.620795
209.3388994,2805.137931,1161.614679,10538.80428
471.4944972,1540.41785,1417.633028,20.51376147
14.40151803,565.1338742,185.764526,8471.437309
600.0075901,1553.665314,3222.06422,889.8868502
139.9848197,334.9269777,4647.211009,4866.688073
403.3548387,1779.148073,4339.009174,6435.825688
935.0223909,2635.490872,3529.840979,873.82263
475.5688805,3223.25355,3375.633028,6323.302752
356.7666034,3001.699797,1916.53211,3039.211009
817.4815939,2189.73428,5070.036697,2454.620795
1297.909677,2285.217039,4689.021407,4057.455657
839.2804554,850.494929,1359.103976,376.146789
1050.8463,1799.434077,2807.275229,9023.189602
18.21631879,2823.474645,4620.070336,163.3425076
1093.653131,2423.044625,2701.223242,5478.746177
1842.032638,975.5091278,4127.045872,2510.431193
1807.43074,2974.630832,4830.452599,4166.085627
1091.734345,373.010142,5286.058104,1802.223242
612.9897533,2054.754564,1636.599388,6175.446483
310.6383302,1717.855984,3656.406728,6191.889908
