1hr,2hr,4hr,8hr
695.1787476,135.8464646,556.472561,983.2378049
635.9043643,109.2585859,1212.359756,1094.496951
1164.177609,551.9111111,1133.417683,3136.198171
343.7055028,277.5979798,185.2256098,1693.54878
475.7525617,1587.288889,115.6920732,1424.057927
152,1137.670707,559.2957317,1720.862805
942.2542694,2016.49899,1122.756098,430.0487805
682.9555977,1257.365657,2012.22561,4469.771341
309.6166983,127.7757576,1467.118902,2808.506098
355.8041746,1228.858586,1767.35061,3493.875
1162.06148,467,645.5152439,1426.853659
153.085389,260.1474747,1917.557927,2118.707317
866.0660342,1281.147475,1084.917683,616.6768293
506.1024668,1215.349495,2687.698171,1163.286585
173.4148008,878.7010101,1531.317073,73.74085366
287.5218216,1788.49899,293.5335366,387.5457317
1118.342315,1122.379798,110.1371951,9.146341463
506.0265655,290.0585859,687.9420732,1781.329268
745.3525617,1192.157576,1343.070122,681.347561
858.9662239,546.4626263,866.4664634,1546.213415
186.3681214,278.5494949,420.4542683,3064.652439
1187.479317,989.8121212,1569.426829,498.4268293
663.7814042,653.6969697,1332.393293,2999.707317
829.5377609,931.3474747,1617.070122,172.5914634
418.1798861,514.3393939,1810.966463,3904.097561
1194.708159,234.8080808,1598.411585,2267.42378
529.1886148,383.0262626,375.2713415,519.5518293
1335.499051,253.2424242,1774.027439,1062.210366
384.3066414,1310.991919,719.6463415,767.1981707
549.4679317,616.4969697,1226.835366,1791.47561
876.4220114,525.0464646,1925.015244,2982.829268
131.1316888,354.0848485,1648.222561,977.4115854
616.8182163,642.0767677,276.3902439,410.1585366
883.5673624,182.3232323,797.0792683,2445.365854
1339.916509,1116.553535,707.070122,1793.847561
343.1650854,586.6505051,1775.070122,2263.783537
685.7092979,1807.044444,2507.79878,1127.926829
203.5795066,1344.757576,562.0182927,4361.734756
559.3563567,793.5777778,1091.039634,3590.640244
578.5396584,2012.193939,1166.286585,824.6707317
188.2656546,693.2707071,1883.515244,358.695122
406.7096774,969.6868687,119.472561,1457.515244
1140.24592,771.1777778,1466.652439,3146.82622
1197.575712,,132.3658537,
251.9969639,,1083.515244,
424.5814042,,1429.582317,
838.2709677,,1177.939024,
661.8671727,,1018.960366,
1106.935863,,1400.051829,
,,562.0609756,
,,1297.643293,
,,910.0365854,
,,459.7835366,
