1hr,2hr,3hr,8hr,25hr
22.9445506692161,273.041682600382,249.471510516252,1184.692073,2176.68986615679
29.023326959847,317.167112810707,259.960229445507,1820.125,1701.6413001912
151.712428298279,234.528489483748,410.110898661568,1715.219512,3438.53919694073
145.124282982792,393.329254302103,337.780497131931,1601.981707,3812.81223709369
227.256596558317,269.79120458891,338.56673040153,1484.387195,3467.16328871893
117.980879541109,130.601912045889,352.068833652008,715.6067073,3215.90057361377
32.4481835564054,235.111281070746,317.544933078394,998.2987805,2982.16290630975
49.6367112810708,192.789292543021,201.128871892925,1390.506098,2982.74110898662
169.231357552581,346.68604206501,433.041682600382,1745.20122,2941.0569789675
183.556405353728,429.988527724665,482.407648183556,1454.862805,277.479158699809
127.255066921606,470.568260038241,382.266921606119,935.1493902,3398.62485659656
134.338814531549,181.827915869981,389.882982791587,1213.698171,3233.70401529637
157.0982791587,379.406500956023,382.071128107075,20.45121951,3561.27571701721
135.586998087954,188.085659655832,502.892543021033,20.45121951,18.9200764818356
52.321223709369,123.559464627151,406.681453154876,49.25304878,4015.88221797323
122.190439770555,314.656978967495,24.7112810707457,934.5823171,3282.01912045889
43.5334608030593,234.673804971319,490.646271510516,1401.829268,2779.78432122371
172.365583173996,272.177437858509,328.003059273423,1177.02439,2727.2
229.644359464627,162.630975143403,514.926195028681,1719.375,3523.77973231357
175.345315487572,213.678011472275,458.630975143403,1033.277439,3588.27380497132
138.006883365201,264.064244741874,442.995028680688,1200.52439,3727.68489483748
70.5284894837476,326.404588910134,271.920458891013,1439.481707,3176.0810707457
151.502868068834,179.025621414914,434.17361376673,1274.323171,3404.18661567878
172.595028680688,326.314340344168,410.577437858509,1311.216463,2077.34149139579
111.073040152964,305.806500956023,628.607265774379,1002.338415,2860.31357552581
110.516252390057,307.83326959847,396.282982791587,1086.493902,3128.23556405354
160.546080305927,311.649713193117,307.866921606118,1417.716463,2942.49177820268
146.040535372849,279.472275334608,328.835181644359,20.45121951,3197.91663479924
175.64206500956,259.623709369025,430.182791586998,1412.530488,3623.27801147228
225.208413001912,356.029063097514,272.37017208413,1396.152439,2567.35755258126
12.9789674952199,370.289866156788,323.314722753346,850.2042683,3404.14684512428
140.426768642447,337.79120458891,487.258126195029,1544.271341,2914.38317399618
146.11395793499,252.94378585086,262.118546845124,1151.182927,2784.50936902486
173.916634799235,117.622944550669,332.945315487572,1230.85061,2280.83824091778
139.565583173996,213.717782026769,290.478011472275,1052.844512,3012.0810707457
142.920076481836,247.404971319312,367.118929254302,872.4634146,3240.24933078394
153.808030592734,242.458126195029,236.852007648184,1210.009146,3455.48757170172
184.120841300191,230.615678776291,460.582791586998,1372.786585,3582.07265774379
124.521606118547,328.504780114723,421.73154875717,1194.493902,1527.56864244742
105.942638623327,287.39120458891,280.705162523901,1199.564024,3061.64282982792
90.5070745697897,310.988910133843,366.939961759082,1339.655488,2455.66347992352
226.511663479923,231.316252390057,341.62447418738,1511.652439,1480.45736137667
61.7376673040153,315.631357552581,633.693307839388,1271.942073,2771.80420650096
155.022562141491,297.904397705545,337.601529636711,1394.856707,2609.56634799235
115.089866156788,160.19120458891,329.830975143403,1251.783537,3184.03671128107
167.094455066922,182.866539196941,266.07724665392,1337.051829,2283.66500956023
157.082982791587,248.567495219885,460.325812619503,1092.189024,2019.93881453155
150.734990439771,277.056978967495,121.473040152964,1105.609756,2306.18126195029
109.076864244742,223.397323135755,306.793116634799,1254.95122,2289.10745697897
228.975908221797,227.395793499044,387.437093690249,273.2317073,2225.19923518164
120.452772466539,253.430210325048,262.898661567878,1274.189024,2715.9586998088
95.8195028680688,126.159847036329,303.663479923518,1304.70122,659.837858508604
152.543021032505,242.072657743786,542.78240917782,1279.585366,3240.38852772467
162.760994263862,287.609942638623,355.291778202677,1248.137195,3480.48030592734
